,complex_id,lat,long,ttl_ridership,demand_weight,d,osmnx_node_id
38,234,40.713715,-73.990173,36.70583773584906,0.007058979227989556,5.46047191785606,42435923
39,13,40.745494,-73.988691,34.84797547169811,0.006701689708390915,5.184090684068478,42428223
40,414,40.704817,-74.014065,34.770372169811324,0.006686765649172203,5.17254618115493,588546891
41,635,40.7025775,-74.013329,34.67191556603774,0.006667831246260665,5.157899477709498,279151954
42,407,40.730054,-73.99107,32.5139108490566,0.006252820680892322,4.836868140937479,42445543
43,16,40.730328,-73.992629,29.032762735849058,0.005583353540609966,4.3190019734122425,42428471
44,327,40.715478,-74.009266,27.808898113207547,0.005347989481866249,4.136936154582978,42431614
45,119,40.730953,-73.981628,26.632283962264147,0.005121712263767063,3.9618994594497785,42440743
46,413,40.707557,-74.011862,25.564580188679244,0.004916379836439818,3.8030646028744926,42428368
47,17,40.724329,-73.997702,20.468095754716984,0.0039362638664949216,3.0448960975889747,42428444
48,409,40.722301,-73.997141,19.7062679245283,0.0037897551049375176,2.931564275470563,42442247
49,333,40.706821,-74.0091,17.404883490566036,0.0033471708753698075,2.5892033364756006,42429840
50,323,40.733422,-74.002906,15.7318,0.003025416562293244,2.340310354323558,42430805
51,319,40.747215,-73.993365,15.286477358490565,0.002939775599708745,2.27406280547732,42438547
52,324,40.728251,-74.005367,14.728176886792454,0.002832407625680878,2.1910083314350097,42448563
53,320,40.744081,-73.995657,13.678676886792452,0.0026305760055149235,2.0348815235133113,42437890
54,328,40.711835,-74.012188,8.908712264150942,0.001713253768333389,1.325287097184157,4143765783
55,316,40.761728,-73.983849,8.606786320754717,0.0016551897356265814,1.2803716767256528,42428308
56,22,40.70722,-74.013342,8.196958490566038,0.0015763748571548533,1.2194044438291936,4149936235
57,326,40.719318,-74.006886,7.603207075471698,0.0014621892353498807,1.1310761797628086,42453038
58,321,40.74104,-73.997871,7.459883018867924,0.0014346262753183452,1.1097548577466716,42429661
59,20,40.713282,-74.006978,7.145477358490567,0.001374162241184654,1.0629829166821356,2821304137
60,325,40.722854,-74.006277,6.175954245283018,0.0011877111494962124,0.9187537133744634,42452015
61,118,40.732849,-73.986122,4.895358962264151,0.0009414370944713657,0.7282484691845448,42431461
62,329,40.707513,-74.013783,3.9716415094339625,0.0007637949886302171,0.5908334550521587,4149936245
63,107,40.706476,-74.011056,2.242307547169811,0.0004312230253984087,0.33357248186598926,42432679
64,103,40.72028,-73.993915,1.5142655660377358,0.0002912116937159715,0.22526674527986226,1773076511
